model,seed,fold,n_train,n_test,roc_auc,average_precision,accuracy
grover,23,3,1622,406,0.8908602150537634,0.9537955933925972,0.8645320197044335
grover,23,4,1623,405,0.9165704584040748,0.9703917262954732,0.8765432098765432
grover,23,5,1623,405,0.89276740237691,0.9504697674446504,0.8740740740740741
unimol,11,1,1622,406,0.9214757150110002,0.9737016029439172,0.8645320197044335
unimol,11,2,1622,406,0.8936491935483871,0.9510465448322348,0.8669950738916257
unimol,11,3,1622,406,0.8791666666666667,0.9536147491191238,0.8374384236453202
unimol,11,4,1623,405,0.8904923599320883,0.952973213078824,0.8716049382716049
unimol,11,5,1623,405,0.9074702886247876,0.9677302055075144,0.8666666666666667
unimol,17,1,1622,406,0.9062447114570992,0.9635585281233616,0.8596059113300493
unimol,17,2,1622,406,0.8881384408602151,0.9549945965523122,0.8694581280788177
unimol,17,3,1622,406,0.8847110215053763,0.9553036371229596,0.8596059113300493
unimol,17,4,1623,405,0.907911714770798,0.9667947776590664,0.8567901234567902
unimol,17,5,1623,405,0.8880475382003394,0.9514285924888298,0.8691358024691358
unimol,23,1,1622,406,0.9003215434083602,0.962296663854114,0.8620689655172413
unimol,23,2,1622,406,0.9151881720430108,0.968775740570898,0.8866995073891626
unimol,23,3,1622,406,0.892002688172043,0.956961302949227,0.854679802955665
unimol,23,4,1623,405,0.9083531409168082,0.9636087773395008,0.8666666666666667
unimol,23,5,1623,405,0.8610186757215619,0.933823686737308,0.8641975308641975
molformer,11,1,1622,406,0.945608393975292,0.982897184292084,0.8645320197044335
molformer,11,2,1622,406,0.9466061827956987,0.9836403595777364,0.8793103448275862
molformer,11,3,1622,406,0.9414986559139784,0.982309304350128,0.8793103448275862
molformer,11,4,1623,405,0.9643803056027164,0.9890697528446768,0.9135802469135802
molformer,11,5,1623,405,0.9613921901528012,0.9886247493424032,0.891358024691358
molformer,17,1,1622,406,0.9512269419529532,0.985493944581724,0.8694581280788177
molformer,17,2,1622,406,0.9576612903225806,0.987515007644932,0.8891625615763546
molformer,17,3,1622,406,0.9529233870967742,0.98561711765389,0.8817733990147784
molformer,17,4,1623,405,0.952937181663837,0.9851210483373576,0.891358024691358
molformer,17,5,1623,405,0.9450594227504244,0.983271313724187,0.8790123456790123
molformer,23,1,1622,406,0.956777796581486,0.9870461281173888,0.8990147783251231
molformer,23,2,1622,406,0.9660282258064516,0.9898432993737424,0.9014778325123152
molformer,23,3,1622,406,0.9339717741935484,0.9797189845918656,0.8596059113300493
molformer,23,4,1623,405,0.9590152801358234,0.9874978769944004,0.8938271604938272
molformer,23,5,1623,405,0.950390492359932,0.9847635318989942,0.8888888888888888
molebert,11,1,1622,406,0.9192418344897614,0.9704432294558836,0.8891625615763546
molebert,11,2,1622,406,0.8892809139784946,0.9464836323232538,0.8940886699507389
molebert,11,3,1622,406,0.8666330645161291,0.946202475772525,0.8620689655172413
molebert,11,4,1623,405,0.8882003395585739,0.9531741004487816,0.8617283950617284
molebert,11,5,1623,405,0.9051273344651952,0.9529413249022544,0.8716049382716049
molebert,17,1,1622,406,0.906041631409714,0.9608234759965406,0.8940886699507389
molebert,17,2,1622,406,0.8810483870967741,0.9492950509461584,0.8669950738916257
molebert,17,3,1622,406,0.8605174731182796,0.9358962474001176,0.854679802955665
molebert,17,4,1623,405,0.9267911714770798,0.9703500324596062,0.8938271604938272
molebert,17,5,1623,405,0.8904923599320882,0.9567705232395376,0.8839506172839506
molebert,23,1,1622,406,0.9084955153156202,0.9650680703340022,0.8768472906403941
molebert,23,2,1622,406,0.8783938172043011,0.9539666970795816,0.8571428571428571
molebert,23,3,1622,406,0.8857862903225807,0.9489259949468344,0.874384236453202
molebert,23,4,1623,405,0.9119185059422752,0.965276447085468,0.8790123456790123
molebert,23,5,1623,405,0.8826825127334466,0.9480360363146808,0.8567901234567902
fcfp,11,1,1622,406,0.9175664240988322,0.9653703345961882,0.8793103448275862
fcfp,11,2,1622,406,0.9134408602150538,0.9618826150847896,0.8817733990147784
