model,n_samples,embedding_dim,roc_auc_mean,roc_auc_std,average_precision_mean,average_precision_std,accuracy_mean,accuracy_std
rmmol_true,2028,768,0.9036922304594596,0.0166860742264693,0.9626383517025108,0.008224291746839,0.8711394919824038,0.0114478253232659
confseq,2028,256,0.8983841088043207,0.0154740430684043,0.961468073583284,0.0077034732891399,0.8704867319426709,0.0157670500427486
grover,2028,3200,0.904325367233386,0.0157214515718375,0.9610388573748412,0.008860864104853,0.8780461797320034,0.0111404973200884
unimol,2028,512,0.8962794580559029,0.0150046499633857,0.9584408412586126,0.0094885634353959,0.8637430314824951,0.0101275376004425
molformer,2028,768,0.9523651680869532,0.0085584249094284,0.9854953068883672,0.0027241361773198,0.8854446674370047,0.0138789305453171
molebert,2028,300,0.8933767434373542,0.0183515332382992,0.9549102225803484,0.009520048374634,0.8744247805550489,0.0138110480335909
fcfp,2028,2048,0.9145749142004996,0.014586176645929,0.9633079347382528,0.0074844297888003,0.8768995925317765,0.0135811460622983
