model,model_label,common_molecules,valid_points,pair_distance_csv,spearman_r,spearman_p,pearson_r,pearson_p,embed_distance_mean,conf_distance_mean
confseq,ConfSeq,1067,10000,experiments/results/confseq_embedding_vs_conformation_distance/lnpdb_heldout_il_smiles_common10k_confseq_pair_distances.csv,0.6403059495540568,0.0,0.6378840508438444,0.0,0.8508132390096783,8.766005258226205
rmmol_true,RMMol,1067,10000,experiments/results/confseq_embedding_vs_conformation_distance/lnpdb_heldout_il_smiles_common10k_rmmol_true_pair_distances.csv,0.8553455378850777,0.0,0.917257371453554,0.0,8.67120132980028,8.766005258226205
unimol,UniMol,1067,10000,experiments/results/confseq_embedding_vs_conformation_distance/lnpdb_heldout_il_smiles_common10k_unimol_pair_distances.csv,0.841887755615152,0.0,0.8544252676417127,0.0,5.469982394254208,8.766005258226205
molformer,MoLFormer,1067,10000,experiments/results/confseq_embedding_vs_conformation_distance/lnpdb_heldout_il_smiles_common10k_molformer_pair_distances.csv,0.5545274990782725,0.0,0.5163483313218468,0.0,9.663184541606904,8.766005258226205
molebert,MoleBERT,1067,10000,experiments/results/confseq_embedding_vs_conformation_distance/lnpdb_heldout_il_smiles_common10k_molebert_pair_distances.csv,0.4437490804063527,0.0,0.3628088957163368,8.44545579492753e-309,1.5612859420835972,8.766005258226205
fcfp,FCFP,1067,10000,experiments/results/confseq_embedding_vs_conformation_distance/lnpdb_heldout_il_smiles_common10k_fcfp_pair_distances.csv,0.4796395431431654,0.0,0.3861224448593786,0.0,5.541487967824936,8.766005258226205
