model,display_model,shape_r2,shape_r2_spearman,flex_r2,flex_r2_spearman,angle_hist_cosine,high_angle_auc,inverse_rmse,high_flex_auc,mean_rmsd_spearman,input_group,rank_mean
rmmol_true,RMMol,0.771522581577301,0.9059169586713386,0.464741051197052,0.7296220419526711,0.8236979842185974,0.990398224395265,1.0,0.8521036555325648,0.7296220419526711,No explicit 3D,1.1428571428571428
confseq,ConfSeq,0.4940276145935058,0.6979399990399845,0.3299888968467712,0.5937806364901838,,,,0.7565277367228298,0.5937806364901838,No explicit 3D,3.75
grover,GROVER,0.422581672668457,0.8044817357077713,0.209606647491455,0.6058261412182595,0.7947291731834412,0.9754728512609367,0.8908138909189564,0.8097349492560844,0.6059121585945374,No explicit 3D,3.2857142857142856
unimol,UniMol,0.8348538875579834,0.921214995439927,0.4095466136932373,0.693992415878654,0.7923915982246399,0.970905172413793,0.9425274571504968,0.8484579761552862,0.693992415878654,RDKit 3D input,2.2857142857142856
molformer,MoLFormer,0.5407065153121948,0.7660504008064128,0.1061786413192749,0.5394038304612874,0.7861210703849792,0.95202328872877,0.9101105373623796,0.740171445462607,0.5392870925934814,No explicit 3D,4.428571428571429
molebert,MoleBERT,0.1447466015815735,0.5871542264676235,0.1327953934669494,0.4130266404262467,0.7938191890716553,0.859527792074112,0.8571676686021003,0.6644004335402502,0.4130266404262467,No explicit 3D,5.428571428571429
fcfp,FCFP,-0.3123714923858642,0.486887150194403,-0.2881767749786377,0.3857145874333989,0.6527568101882935,0.8712043232115286,0.0,0.688540742930338,0.3857145874333989,No explicit 3D,6.285714285714286
